med,kur,skew,r_max,sigma_snr,engy,rms,Leith,Rician,growth_time,SPE,growth_time_power,Power_ratio_first,Power_ratio_second,Power_ratio_third,peak_number,engy_power,med_power,rms_power,kur_power,SPE_power,skew_power,Rician_power,type
0.05114701,153.5910827,10.69608001,259.0462331,111.140131,1264194.059,0.007591081,139.3074065,206.6862596,400,0.00020491,0,1,0.468609436,0.421857913,3,56.1548008,327.2244044,19111.1222,73.29282207,0.017807916,7.712481359,76.2094441,0
0.007076677,50.59086791,5.70356913,254.9744788,110.8232691,373226.2842,0.012076056,38.41202518,118.8375261,477,0.000323738,0,1,0.461320196,0.423882689,4,55.38220777,327.0079534,18887.17996,74.15554293,0.01805634,7.749449781,77.20013974,0
0.007817807,43.73883355,5.277540666,247.552352,110.2324417,324585.8542,0.013022143,32.43420773,85.33515264,482,0.000291186,0,1,0.489007771,0.465402579,4,58.27618806,332.5646084,19289.55335,68.31666324,0.017159667,7.44683664,73.47497845,0
0.051589184,132.5630143,9.883108909,233.5721091,109.069817,1167213.939,0.008227843,119.2816167,183.6028001,482,0.000200111,0,1,0.54786422,0.487351855,4,62.57244777,333.2931682,19470.4693,62.41585629,0.015981475,7.150706182,68.49231782,0
0.010493036,104.3847343,8.753097056,239.8491676,109.6002051,1191118.064,0.008127479,91.08191615,141.1712843,1054,0.000201365,0,1,0.510970823,0.45702986,4,59.32551858,323.3817011,18905.35563,66.99036865,0.016856153,7.380896835,72.17952214,0
0.005740551,63.00170486,6.539074179,241.2841715,109.7195075,477510.6307,0.011338242,50.08419633,108.6016841,426,0.000278857,0,1,0.499216683,0.446370493,3,57.82894728,323.92276,17756.89707,69.75846054,0.017292378,7.548019842,73.91532328,0
0.006353074,66.0765141,6.531135631,251.0830887,110.5156783,418346.5664,0.011992328,50.84525998,138.2914697,426,0.000333845,0,1,0.516071462,0.437518388,3,58.33414865,325.9875033,16461.04854,68.93917785,0.017142618,7.515443277,73.25669917,0
0.008454425,36.14170103,4.86295466,254.4338041,110.780814,338463.1458,0.013305935,27.17520801,68.77276655,426,0.000254531,0,1,0.552374217,0.420448369,3,60.02887929,640.3412509,15200.76638,66.89732687,0.016658649,7.432986803,71.18684718,0
0.008387026,34.04700399,4.726194602,258.048735,111.0629692,316328.5907,0.013384512,25.74357158,65.43342459,424,0.000256781,0,1,0.575046093,0.394555796,3,59.99206528,646.2863278,14974.72524,67.13267932,0.016668871,7.451866182,71.22429088,0
0.048227566,133.1721139,9.967036242,251.949762,110.5845942,1280892.235,0.007541298,120.386372,190.1431131,424,0.000196699,0,1,0.619288318,0.433273462,4,64.5127406,1209.106159,15853.7203,60.89066517,0.015500814,7.116855249,66.3600433,0
0.006195282,64.71308731,6.425711638,247.4036751,110.2204263,467531.7928,0.0114975,49.8050293,135.6829889,424,0.000312647,0,1,0.588530384,0.429439668,4,62.26363678,338.3961566,16625.97664,63.23263111,0.016060739,7.222951527,68.73921789,0
0.008418669,35.63671254,4.840559301,245.9334735,110.1012213,342538.7179,0.013394113,26.73985843,66.23658152,424,0.000248074,0,1,0.607010911,0.434284335,4,63.75977615,1217.320458,15897.94063,61.76042888,0.015683869,7.159352809,67.11505346,0
0.008125485,33.97284035,4.768331764,235.8483539,109.2637806,350627.4272,0.012948491,25.95372175,63.2917058,1054,0.000240383,0,1,0.634771999,0.447458379,4,65.99648778,1226.073773,16226.73112,59.14523298,0.015152321,7.022726444,64.86718507,0
0.008220047,35.11452554,4.842185067,239.9647636,109.6098419,353201.9253,0.013234091,26.66763474,64.74842392,1054,0.000242113,0,1,0.631393208,0.43463622,4,65.07833614,1210.895238,14972.81673,60.64730561,0.015366097,7.118972427,65.72206175,0
0.008355,34.35452728,4.762254808,239.0493329,109.5333989,348429.0654,0.013039939,25.97672432,63.16306686,1057,0.000240344,0,1,0.612161961,0.429491216,4,63.5192984,1311.625391,15782.17613,62.31089575,0.015743247,7.193974166,67.36054987,0
0.008440496,33.3302206,4.681506987,243.5519676,109.9066068,339357.936,0.013038562,25.25975193,60.22227194,1057,0.000237907,0,1,0.608584966,0.415540926,4,62.57045165,1306.382784,15500.30397,63.81547587,0.015981985,7.276590676,68.37620899,0
0.008275126,32.0651839,4.607706852,237.6216269,109.4135921,363096.4021,0.012871322,24.45479152,54.96014103,1059,0.000219507,0,1,0.636102969,0.435361984,4,65.03727015,1313.158406,16394.71747,60.75186837,0.015375799,7.115619694,65.85445016,0
